2025-10-05 19:52:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:52:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:53:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:53:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:53:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:54:19 | DEBUG   | websocket       | Sending ping
2025-10-05 19:54:28 | INFO    | tracer          | Keyboard interrupt received
2025-10-05 19:54:28 | INFO    | tracer          | System tray icon stopped
2025-10-05 19:54:28 | INFO    | tracer          | System tray stopped
2025-10-05 19:56:05 | INFO    | startup         | ============================================================
2025-10-05 19:56:05 | INFO    | startup         | SkinCloner - Starting...
2025-10-05 19:56:05 | INFO    | startup         | ============================================================
2025-10-05 19:56:05 | INFO    | tracer          | Starting...
2025-10-05 19:56:05 | INFO    | tracer          | System tray manager started - no console window
2025-10-05 19:56:05 | INFO    | tracer          | System tray icon initialized - console hidden
2025-10-05 19:56:05 | INFO    | tracer          | Starting automatic skin download in background...
2025-10-05 19:56:05 | INFO    | tracer          | LCU ready (port 52484)
2025-10-05 19:56:05 | INFO    | tracer          | Using repository ZIP downloader (most efficient)...
2025-10-05 19:56:05 | INFO    | tracer          | LCU connected - detected language: fr_FR
2025-10-05 19:56:05 | INFO    | tracer          | Auto-detected OCR language: fra (LCU: fr_FR)
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing AvifImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing BlpImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing BmpImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing BufrStubImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing CurImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing DcxImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing DdsImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing EpsImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing FitsImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing FliImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing FpxImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Image: failed to import FpxImagePlugin: No module named 'olefile'
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing FtexImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing GbrImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing GifImagePlugin
2025-10-05 19:56:05 | WARNING | tracer          | OCR language 'fra' may not be available. Falling back to English.
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing GribStubImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing Hdf5StubImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing IcnsImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing IcoImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing ImImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing ImtImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing IptcImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing JpegImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing Jpeg2KImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing McIdasImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing MicImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Image: failed to import MicImagePlugin: No module named 'olefile'
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing MpegImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing MpoImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing MspImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing PalmImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing PcdImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing PcxImagePlugin
2025-10-05 19:56:05 | DEBUG   | PIL.Image       | Importing PdfImagePlugin
